text_cleaned,text_tokens,text_stemmed,text_lemmatized,text_removal
barang buktinya cuma hpandroid gak ada pc build up polisi siber crime berpikir bjorka ngehack pake termux,"['barang', 'buktinya', 'cuma', 'hpandroid', 'gak', 'ada', 'pc', 'build', 'up', 'polisi', 'siber', 'crime', 'berpikir', 'bjorka', 'ngehack', 'pake', 'termux']","['barang', 'buktinya', 'cuma', 'hpandroid', 'gak', 'ada', 'pc', 'build', 'up', 'polisi', 'siber', 'crime', 'berpikir', 'bjorka', 'ngehack', 'pake', 'termux']","['barang', 'buktinya', 'cuma', 'hpandroid', 'gak', 'ada', 'pc', 'build', 'up', 'polisi', 'siber', 'crime', 'berpikir', 'bjorka', 'ngehack', 'pake', 'termux']","['barang', 'buktinya', 'hpandroid', 'gak', 'pc', 'build', 'up', 'polisi', 'siber', 'crime', 'berpikir', 'bjorka', 'ngehack', 'pake', 'termux']"
yang di dunia nyata aja sering salah tangkapapalagi di dunia yang ndak nyata,"['yang', 'di', 'dunia', 'nyata', 'aja', 'sering', 'salah', 'tangkapapalagi', 'di', 'dunia', 'yang', 'ndak', 'nyata']","['yang', 'di', 'dunia', 'nyata', 'aja', 'sere', 'salah', 'tangkapapalagi', 'di', 'dunia', 'yang', 'ndak', 'nyata']","['yang', 'di', 'dunia', 'nyata', 'aja', 'sere', 'salah', 'tangkapapalagi', 'di', 'dunia', 'yang', 'ndak', 'nyata']","['dunia', 'nyata', 'aja', 'sere', 'salah', 'tangkapapalagi', 'dunia', 'ndak', 'nyata']"
gw lebih percaya polisi buat pengumuman kalo hittler meninggal di garut daripada polisi buat pengumuman mereka berhasil nangkep bjorka meskipun kedua pengumuman kinerja itu bohongan tapi emang ada berita polisi sekarang yang bener bukan bohong,"['gw', 'lebih', 'percaya', 'polisi', 'buat', 'pengumuman', 'kalo', 'hittler', 'meninggal', 'di', 'garut', 'daripada', 'polisi', 'buat', 'pengumuman', 'mereka', 'berhasil', 'nangkep', 'bjorka', 'meskipun', 'kedua', 'pengumuman', 'kinerja', 'itu', 'bohongan', 'tapi', 'emang', 'ada', 'berita', 'polisi', 'sekarang', 'yang', 'bener', 'bukan', 'bohong']","['gw', 'lebih', 'percaya', 'polisi', 'buat', 'pengumuman', 'kalo', 'hittler', 'meningg', 'di', 'garut', 'daripada', 'polisi', 'buat', 'pengumuman', 'mereka', 'berhasil', 'nangkep', 'bjorka', 'meskipun', 'kedua', 'pengumuman', 'kinerja', 'itu', 'bohongan', 'tapi', 'emang', 'ada', 'berita', 'polisi', 'sekarang', 'yang', 'bener', 'bukan', 'bohong']","['gw', 'lebih', 'percaya', 'polisi', 'buat', 'pengumuman', 'kalo', 'hittler', 'meningg', 'di', 'garut', 'daripada', 'polisi', 'buat', 'pengumuman', 'mereka', 'berhasil', 'nangkep', 'bjorka', 'meskipun', 'kedua', 'pengumuman', 'kinerja', 'itu', 'bohongan', 'tapi', 'emang', 'ada', 'berita', 'polisi', 'sekarang', 'yang', 'bener', 'bukan', 'bohong']","['gw', 'percaya', 'polisi', 'pengumuman', 'kalo', 'hittler', 'meningg', 'garut', 'polisi', 'pengumuman', 'berhasil', 'nangkep', 'bjorka', 'pengumuman', 'kinerja', 'bohongan', 'emang', 'berita', 'polisi', 'bener', 'bohong']"
baju coklat wkwkwk hasil jual sawah bapak oyyy bukan karna kemampuan,"['baju', 'coklat', 'wkwkwk', 'hasil', 'jual', 'sawah', 'bapak', 'oyyy', 'bukan', 'karna', 'kemampuan']","['baju', 'coklat', 'wkwkwk', 'hasil', 'jual', 'sawah', 'bapak', 'oyyy', 'bukan', 'karna', 'kemampuan']","['baju', 'coklat', 'wkwkwk', 'hasil', 'jual', 'sawah', 'bapak', 'oyyy', 'bukan', 'karna', 'kemampuan']","['baju', 'coklat', 'wkwkwk', 'hasil', 'jual', 'sawah', 'oyyy', 'karna', 'kemampuan']"
baru tau ada lomba hacker,"['baru', 'tau', 'ada', 'lomba', 'hacker']","['baru', 'tau', 'ada', 'lomba', 'hacker']","['baru', 'tau', 'ada', 'lomba', 'hacker']","['tau', 'lomba', 'hacker']"
rakyatnya udah pada pinter petugas satpam nya masih aja pada bego,"['rakyatnya', 'udah', 'pada', 'pinter', 'petugas', 'satpam', 'nya', 'masih', 'aja', 'pada', 'bego']","['rakyatnya', 'udah', 'pada', 'pinter', 'petuga', 'satpam', 'nya', 'masih', 'aja', 'pada', 'bego']","['rakyatnya', 'udah', 'pada', 'pinter', 'petuga', 'satpam', 'nya', 'masih', 'aja', 'pada', 'bego']","['rakyatnya', 'udah', 'pinter', 'petuga', 'satpam', 'nya', 'aja', 'bego']"
ini suaranya kek abang gondrong itu om,"['ini', 'suaranya', 'kek', 'abang', 'gondrong', 'itu', 'om']","['ini', 'suaranya', 'kek', 'abang', 'gondrong', 'itu', 'om']","['ini', 'suaranya', 'kek', 'abang', 'gondrong', 'itu', 'om']","['suaranya', 'kek', 'abang', 'gondrong', 'om']"
5125 polisi punya temen gw pernah kena salah tangkep soal narkoboy dia diminta hp nya trus di colokin alat wa wa yg udah di hapus pada keluar semua gilaaa,"['5125', 'polisi', 'punya', 'temen', 'gw', 'pernah', 'kena', 'salah', 'tangkep', 'soal', 'narkoboy', 'dia', 'diminta', 'hp', 'nya', 'trus', 'di', 'colokin', 'alat', 'wa', 'wa', 'yg', 'udah', 'di', 'hapus', 'pada', 'keluar', 'semua', 'gilaaa']","['5125', 'polisi', 'punya', 'temen', 'gw', 'pernah', 'kena', 'salah', 'tangkep', 'soal', 'narkoboy', 'dia', 'diminta', 'hp', 'nya', 'tru', 'di', 'colokin', 'alat', 'wa', 'wa', 'yg', 'udah', 'di', 'hapu', 'pada', 'keluar', 'semua', 'gilaaa']","['5125', 'polisi', 'punya', 'temen', 'gw', 'pernah', 'kena', 'salah', 'tangkep', 'soal', 'narkoboy', 'dia', 'diminta', 'hp', 'nya', 'tru', 'di', 'colokin', 'alat', 'wa', 'wa', 'yg', 'udah', 'di', 'hapu', 'pada', 'keluar', 'semua', 'gilaaa']","['5125', 'polisi', 'temen', 'gw', 'kena', 'salah', 'tangkep', 'narkoboy', 'hp', 'nya', 'tru', 'colokin', 'alat', 'wa', 'wa', 'yg', 'udah', 'hapu', 'gilaaa']"
polri itu gak pernah ada gunanya selain jadi beban doang,"['polri', 'itu', 'gak', 'pernah', 'ada', 'gunanya', 'selain', 'jadi', 'beban', 'doang']","['polri', 'itu', 'gak', 'pernah', 'ada', 'gunanya', 'selain', 'jadi', 'beban', 'doang']","['polri', 'itu', 'gak', 'pernah', 'ada', 'gunanya', 'selain', 'jadi', 'beban', 'doang']","['polri', 'gak', 'gunanya', 'beban', 'doang']"
maaf aku mau nanya ada yang mau kopi kayanya ngantuk bawaannya,"['maaf', 'aku', 'mau', 'nanya', 'ada', 'yang', 'mau', 'kopi', 'kayanya', 'ngantuk', 'bawaannya']","['maaf', 'aku', 'mau', 'nanya', 'ada', 'yang', 'mau', 'kopi', 'kayanya', 'ngantuk', 'bawaannya']","['maaf', 'aku', 'mau', 'nanya', 'ada', 'yang', 'mau', 'kopi', 'kayanya', 'ngantuk', 'bawaannya']","['maaf', 'nanya', 'kopi', 'kayanya', 'ngantuk', 'bawaannya']"
