channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,"Pemikiran cerdas bagi seorang pemimpin, saya orang jawa timur ingin punya pemimpin seperti anda di jawa timur","Pemikiran cerdas bagi seorang pemimpin, saya orang jawa timur ingin punya pemimpin seperti anda di jawa timur",@jie_halili9674,https://yt3.ggpht.com/ytc/AIdro_nMaLeARjoWdy9dylgojgXzMDKfleL3gSigG41l7H0arqk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jie_halili9674,{'value': 'UCQi1hoVvPV0KXgKH9bD1jYw'},True,none,1,2025-08-07T06:21:54Z,2025-08-07T06:21:54Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,"Wawancara sama Dedi mulyadi, biasanya bisa menyudutkan dengan pertanyaan pertanyaan , tapi sekarang seolah olah mati kutu ,intermezo. Sukses dobel Dedy semoga sehat selalu.","Wawancara sama Dedi mulyadi, biasanya bisa menyudutkan dengan pertanyaan pertanyaan , tapi sekarang seolah olah mati kutu ,intermezo. Sukses dobel Dedy semoga sehat selalu.",@KakangSutarsa,https://yt3.ggpht.com/ytc/AIdro_ksQQl2B9h3YStUGVnbkEBwQ17nquLWhFzYP0HbtW3Fg4xF0T91e_MyLGpXuaKOx1LlOQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@KakangSutarsa,{'value': 'UCAkfkxF2Bh7HWjhNuHvTO-w'},True,none,0,2025-08-07T06:18:56Z,2025-08-07T06:18:56Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,"Masyaallah, tabarakallah.. Semoga panjang umur pak Dedi Mulyadi. Semoga warga Indonesia bisa merasakan kepemimpinan orang² yg jujur, tulus membangun negeri ini seperti bapak. Semoga next bisa jadi Presiden.. Aamiin Allahumma aamiin. ❤","Masyaallah, tabarakallah.. Semoga panjang umur pak Dedi Mulyadi. Semoga warga Indonesia bisa merasakan kepemimpinan orang² yg jujur, tulus membangun negeri ini seperti bapak. Semoga next bisa jadi Presiden.. Aamiin Allahumma aamiin. ❤",@triasuwismo6748,https://yt3.ggpht.com/ytc/AIdro_kjtc99J0ZQ1mxGMsGVZbF_oGpyAc1b7-pAxz1iFZg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@triasuwismo6748,{'value': 'UC3wR5Y_UFn0XJLAHvj8c6uQ'},True,none,11,2025-08-07T06:18:02Z,2025-08-07T06:18:02Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Dari jaman masih bupai sdh ❤,Dari jaman masih bupai sdh ❤,@HuaJanuar,https://yt3.ggpht.com/ytc/AIdro_kGJzQne4tLxXgvjd2qdB4-ZxFvdKrEml04CMC_OW9Qbpq0uVjTTkyvuZ_aG_JA0VwRMg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@HuaJanuar,{'value': 'UCGDS8qHQpsSywLuimEXw0iQ'},True,none,0,2025-08-07T06:17:09Z,2025-08-07T06:17:09Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,"cuma ini podcast yang ga di skip&quot; , sehat selalu buat kang dedi, semoga  masyarakatnya juga mengikuti aturan. ga kebayang kalo jadi presiden dia bakal repot banget benerin pemerintahan yang absurd inii wkwk","cuma ini podcast yang ga di skip"" , sehat selalu buat kang dedi, semoga  masyarakatnya juga mengikuti aturan. ga kebayang kalo jadi presiden dia bakal repot banget benerin pemerintahan yang absurd inii wkwk",@lindadwiyani3385,https://yt3.ggpht.com/ytc/AIdro_njLuUguNb_Kko9SrvQpVr17McqYQLltGnWIw4GM8JdPlk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lindadwiyani3385,{'value': 'UCrUskaCuPEeusStiw5TYKmA'},True,none,0,2025-08-07T06:15:36Z,2025-08-07T06:15:36Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Ronal lebih pintar dr lo koq panas...Ronal diem aja tp kaya,Ronal lebih pintar dr lo koq panas...Ronal diem aja tp kaya,@dannytobing4339,https://yt3.ggpht.com/ytc/AIdro_l4SQIBQ5qY_LnLirbbNR9iaQU8fAqD1ehIA8pXj8wca-hG=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dannytobing4339,{'value': 'UCnTDFKDmT518cBu4rB0QW0g'},True,none,0,2025-08-07T06:15:04Z,2025-08-07T06:15:04Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Judul Tema nya kurang cocoklogi. kcewa euy,Judul Tema nya kurang cocoklogi. kcewa euy,@8Civicsedu,https://yt3.ggpht.com/i9Z0-RjaXk2WXbRKgHtz_7BfNjRUkGAUchRP8Ri_SU0cadaIHcRmbIXnAsrBZbyrQWyudowMbAs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@8Civicsedu,{'value': 'UC-KG1dXzjO5A6zB9HsmiODw'},True,none,0,2025-08-07T06:12:28Z,2025-08-07T06:12:28Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Baru kali ini nonton podcast nonton dri awal sampe akhir❤❤❤❤❤❤❤❤,Baru kali ini nonton podcast nonton dri awal sampe akhir❤❤❤❤❤❤❤❤,@AgnestiaIran,https://yt3.ggpht.com/ytc/AIdro_lN1r14JyVE1HV827fOA4jwcUpML9JATe2vub3wBZwgdO1_u1mEpcWHSejRd9oj5lcaaA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@AgnestiaIran,{'value': 'UCGWbKwnJxvDzEQSC-6nhL2Q'},True,none,0,2025-08-07T06:05:52Z,2025-08-07T06:05:52Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Mantep King 🔥,Mantep King 🔥,@cayculplesiran7125,https://yt3.ggpht.com/ytc/AIdro_kX_2Lkq4mVKQ70oPdPskMQhSokr8ksd1QdsG8gSXP97gRk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cayculplesiran7125,{'value': 'UCNZ0gR9e9HPWYRO3sRaNXqw'},True,none,0,2025-08-07T06:03:34Z,2025-08-07T06:03:34Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Itu org tua yg egois...yg gak pernah mikir ke depannya,Itu org tua yg egois...yg gak pernah mikir ke depannya,@feriapriana1502,https://yt3.ggpht.com/-6TrayPea3L99nqKn-fkk-ilQvU2FUhu0YCdDF8SqeRY-6ELfoZnWnVUFxCNZkLFbWakAnMiuA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@feriapriana1502,{'value': 'UCx6KYQI1Oaxd6jWkbngUN3g'},True,none,0,2025-08-07T06:01:40Z,2025-08-07T06:01:40Z
